Iteration_Number  Configuration  Energy  Contact_count
295 ddrurdru -6.3 3
296 ddrurrdl -7.1 3
297 ddrurrdl -7.1 3
298 ddrurrdl -7.1 3
299 ddrurrdl -7.1 3
300 ddrurrdl -7.1 3
301 ddrurrdl -7.1 3
302 ddrurrdl -7.1 3
303 ddrurrdl -7.1 3
304 ddrurrdl -7.1 3
305 rdrurrdl -7.1 3
306 rdrrrull -6.3 3
307 ddrrrull -6.3 3
308 ddrurrdl -7.1 3
309 ddrrrull -6.3 3
310 ddrrrull -6.3 3
311 ddrrrull -6.3 3
312 drrrdlll -5.9 3
313 drrrdlll -5.9 3
314 rrrrdlll -5.9 3
315 rdrrrull -6.3 3
316 rdrrrull -6.3 3
317 rdrrrull -6.3 3
318 rdrrrull -6.3 3
319 rrrrdlll -5.9 3
320 rdrrrull -6.3 3
321 rdrurrdl -7.1 3
322 rdrurrdl -7.1 3
323 rdrurrdl -7.1 3
324 ddrurrdl -7.1 3
325 ddrurrdl -7.1 3
326 ddrurrdl -7.1 3
327 ddrurrdl -7.1 3
328 ddrurrdl -7.1 3
329 ddrrrull -6.3 3
330 ddrrrull -6.3 3
331 ddrurrdl -7.1 3
332 rdrurrdl -7.1 3
333 rdrrrull -6.3 3
334 rdrurrdl -7.1 3
335 rdrurrdl -7.1 3
336 rdrurrdl -7.1 3
337 rdrurrdl -7.1 3
338 rdrurrdl -7.1 3
339 drrurrdl -6 2
340 rrrurrdl -6 2
341 rrrurrdl -6 2
342 rrrurrdl -6 2
343 rrrurrdl -6 2
344 urrurrdl -6 2
345 urrurdru -5.3 2
346 urrurdru -5.3 2
347 urrurrdl -6 2
348 urrurrdl -6 2
349 urrurrdl -6 2
350 urrurrdl -6 2
351 urrurdru -5.3 2
352 urrurdru -5.3 2
353 drrurdru -5.3 2
354 rrrurdru -5.3 2
355 rrrurdru -5.3 2
356 rrrurdru -5.3 2
357 drrurdru -5.3 2
358 drrurdru -5.3 2
359 rdrurdru -6.3 3
360 rdrurdru -6.3 3
